0	-7.208854E-09
5	-3.211753E-09
10	5.176931E-08
15	1.986916E-07
20	8.620897E-07
25	1.387764E-05
30	9.121931E-05
35	0.0005673194
40	0.0006658223
45	0.0006945432
50	0.0007152875
55	0.0007297125
60	0.0007497699
65	0.0007547537
70	0.0007687773
75	0.0007777589
80	0.0007942572
85	0.0007939006
90	0.0008123703
95	0.0008202756
100	0.0008291065
105	0.0008220128
110	0.000823674
115	0.0008258562
120	0.0008211042
125	0.0008316861
130	0.0008431061
135	0.0008449444
140	0.0008461531
145	0.0008543023
150	0.0008533749
155	0.0008599886
160	0.0008717587
165	0.0008671913
170	0.0008623775
175	0.0008721104
180	0.0008740169
185	0.0008669939
190	0.0008755998
195	0.0008727073
200	0.0008763836

